Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-fipa-cp-clone', '-fversion-loops-for-strides', '-fgcse-after-reload', '-floop-interchange', '-fsplit-paths']",-918460.76,455917.2,-918460.76,-59615.536
1,"['-fsplit-paths', '-ftree-partial-pre', '-fpeel-loops', '-fvect-cost-model=dynamic']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-floop-interchange', '-fsplit-paths', '-fversion-loops-for-strides', '-fipa-cp-clone']",-577349.24,587520.36,-918460.76,11039.775999999994
2,['-fgcse-after-reload'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-fgcse-after-reload', '-fpredictive-commoning', '-fipa-cp-clone', '-fsplit-paths']",-534653.6,804335.52,-918460.76,16711.244
3,"['-floop-interchange', '-fversion-loops-for-strides']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fipa-cp-clone'],-584506.48,521467.6,-918460.76,-46341.190666666655
4,['-ftree-loop-distribution'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-funswitch-loops'],-550317.88,652410.64,-918460.76,31844.89866666666
5,"['-funswitch-loops', '-fpredictive-commoning']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-floop-unroll-and-jam', '-floop-interchange', '-fvect-cost-model=dynamic']",-392519.72,703008.8,-918460.76,38140.944
6,"['-fsplit-loops', '-fvect-cost-model=dynamic']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fversion-loops-for-strides'],-527763.36,496110.64,-918460.76,-66163.56
7,['-fgcse-after-reload'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-ftree-loop-distribution'],-547579.16,464555.12,-918460.76,-17223.825333333334
8,['-floop-unroll-and-jam'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-fsplit-paths', '-fvect-cost-model=dynamic']",-489664.36,528042.04,-918460.76,42880.98
9,['-fpredictive-commoning'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fgcse-after-reload'],-481418.32,490324.76,-918460.76,85134.50933333332
10,['-floop-interchange'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fipa-cp-clone'],-584137.68,481398.08,-918460.76,-27065.522666666668
11,['-fpredictive-commoning'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fversion-loops-for-strides'],-367315.96,694970.24,-918460.76,86198.77200000001
12,"['-floop-interchange', '-floop-unroll-and-jam']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fsplit-paths'],-567167.88,606102.16,-918460.76,40827.50266666667
13,"['-fsplit-loops', '-ftree-loop-distribution', '-fpredictive-commoning', '-fpeel-loops']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-fvect-cost-model=dynamic', '-funswitch-loops', '-fpredictive-commoning']",-446986.48,543490.0,-918460.76,22746.456
14,"['-floop-interchange', '-ftree-partial-pre']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-fgcse-after-reload', '-fsplit-loops', '-funswitch-loops']",-619419.64,412913.24,-918460.76,-793.3040000000027
15,"['-fpeel-loops', '-ftree-partial-pre']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']","['-funswitch-loops', '-fvect-cost-model=dynamic']",-745009.8,599339.72,-918460.76,-6736.274666666667
16,"['-fsplit-loops', '-fvect-cost-model=dynamic']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fgcse-after-reload'],-809588.68,770584.6,-918460.76,-18630.58266666667
17,"['-ftree-loop-distribution', '-fversion-loops-for-strides']","['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fversion-loops-for-strides'],-596270.92,469131.0,-918460.76,-68457.07066666667
18,['-fipa-cp-clone'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-fgcse-after-reload'],-463210.64,352973.84,-918460.76,-3664.2839999999987
19,['-floop-interchange'],"['-fvect-cost-model=dynamic', '-floop-interchange', '-fversion-loops-for-strides', '-fpredictive-commoning', '-ftree-loop-distribution']",['-ftree-partial-pre'],-611122.68,618197.84,-918460.76,-49647.602666666666
